"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"267","Arcelormittal Nippon Steel India Ltd vs Essar Bulk Terminal Ltd","Gujarat High Court","High Court","2021","2021-08-17 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Jurisdiction, Interim Relief","Medium","Against Respondent","Order passed directing the trial court to postpone the pronouncement of judgment.","Jurisdiction of the Commercial Court to pass interim orders under Section 9 of the Arbitration and Conciliation Act, 1996, in light of a pending Section 11 petition before the High Court."
"268","M/S Awasthi Motors vs Managing Director M/S Energy ...","Allahabad High Court","High Court","2021","2021-03-22 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Pre-Institution Mediation, Court Fees","Low","Against Respondent","Appeal allowed.","Whether deposit of court fees on the valuation of the plaint is a pre-condition to maintain an application under Section 12A of the Commercial Courts Act, 2015 read with Rule 3 of The Commercial Courts (Pre-Institution Mediation and Settlement) Rules, 2018."
"269","Arindam Chaudhuri vs Zest Systems Pvt Ltd & Anr","Delhi High Court","High Court","2021","2021-09-10 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Appeal, Procedural Matters","Low","Respondent","Appeals dismissed.","Maintainability of appeals under Section 13 of the Commercial Courts Act, 2015 against certain orders passed by the Single Judge."
"270","Ashok Kumar Puri & Anr. vs S. Suncon Realtors Pvt. Ltd. & Anr.","Delhi High Court","High Court","2021","2021-12-10 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Commercial Courts Act, Condonation of Delay","Low","Respondent","Petition Dismissed","Scope of interference by the High Court under Article 227 of the Constitution of India in respect of interlocutory orders of Commercial Courts."
"271","C.K.Surendran vs Kunhimoosa","Munsiff's Court","Kerala","2021","2021-09-17 00:00:00","Civil Law","Commercial Courts Act, Jurisdiction, Transfer of Case","Low ","Against Respondent","Petition Allowed","Whether the dispute qualifies as a ""commercial dispute"" and falls under the Commercial Courts Act."
"272","M/S Awasthi Motors vs Managing Director M/S Energy ...","High Court","Allahabad High Court","2021","2021-03-22 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Pre-Institution Mediation, Court Fee","Low","Against Respondent","Appeal Allowed","Whether deposit of court fee on valuation of plaint is a pre-condition for filing a pre-institution mediation application."
"273","Arindam Chaudhuri vs Zest Systems Pvt Ltd & Anr","High Court","Delhi High Court","2021","2021-09-10 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Appeal, Order of Single Judge","Low","Respondent","Appeal Dismissed","Whether the appeals filed under Section 13 of the Commercial Courts Act are maintainable against the orders passed under Rule 5 of the 2018 Original Side Rules."
"274","Mothers Pride Education Institution ... vs Smt. Shukla Sehgal","High Court","Delhi High Court","2021","2021-05-11 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Written Statement, Condonation of Delay","Low","Respondent","Petition Dismissed","Whether the petitioner's delay in filing the written statement was justified and whether the court erred in rejecting the petitioner's application for condonation of delay."
"275","Irfan Son Of Shri Noor Khan Deshwali vs State Of Rajasthan","High Court","Rajasthan High Court","2021","2021-02-16 00:00:00","Criminal Law","CrPC Sections 451 & 457, Vehicle Seizure, Illegal Mining","Low","Against Respondent","Petition Allowed","Release of seized vehicles subject to certain conditions."
"276","Saifee Developers Private Limited vs Shanklesha Constructions And 5 Ors","High Court","Bombay High Court","2021","2021-03-31 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Interim Relief, Review Petition","High","Respondent","Review Petition Dismissed, Interim Application Allowed","Whether the interim relief granted to Saifee Developers should be vacated and whether the Review Petition filed by Saifee Developers should be allowed."
"277","C Krishniah Chetty And Sons Private ... vs Deepali Company Private Limited","High Court","Karnataka High Court","2021","2021-05-27 00:00:00","Civil Law, Commercial Law","Company Law, Trademark Infringement, Board Resolution","Low","Respondent","Appeal Dismissed","Whether a Chief Financial Officer or any other principal officer of a private limited company can institute a suit/appeal or any other legal proceedings on behalf of the company against its shareholders without a board resolution."
"278","National Highways Authority Of India vs Madhukar Kumar","Supreme Court","India","2021","2021-09-23 00:00:00","Civil Law, Administrative Law","Toll Plaza, National Highways Act, Rule 8","High","Against Respondent","Appeal Allowed","Whether the construction of a toll plaza at 194 km of NH-30 in violation of Rule 8 of the National Highways Fee (Determination of Rates and Collection) Rules, 2008."
"279","P.B.Nayak vs M.D. B.S. Plant","Supreme Court","India","2021","2021-10-26 00:00:00","Labor Law, Industrial Disputes","Shops and Establishments Act, 1958","High","Respondent","Appeal Dismissed","Whether the establishment in question is a 'club' within the meaning of Section 3(j) of the Madhya Pradesh Shops and Establishments Act, 1958, and thus exempt from the provisions of the Act."
"280","Krishna Kishore Singh vs Sarla A Saraogi & Ors.","High Court","India","2021","2021-06-10 00:00:00","Civil","Defamation, Privacy, Freedom of Speech, Injunction","Medium","Respondent","Application for injunction dismissed","Right to Privacy vs Freedom of Speech and Expression"
"281","Engineering Analysis Centre Of ... vs The Commissioner Of Income Tax","Supreme Court","India","1995","1995-10-03 00:00:00","Tax Law ","Royalty, Software, Copyright, Income Tax Act, DTAA, TDS","High","Respondent","Payments for software deemed not to be royalty, no TDS obligation","Determination of whether payments for imported software constitute royalty for tax purposes"
"282","Ghanashyam Mishra And Sons Private ... vs Edelweiss Asset Reconstruction","Supreme Court","India","1995","1995-04-13 00:00:00","Insolvency Law","Insolvency and Bankruptcy Code, CIRP, Resolution Plan, NCLT, NCLAT, Creditor Claims","Medium","Against Respondent","Upheld NCLT order approving the resolution plan, extinguished claims not in the plan","Whether statutory dues prior to CIRP are extinguished by the approved resolution plan"
"283","Delhi Airport Metro Express Pvt. Ltd. vs Delhi Metro Rail Corporation Ltd.","Supreme Court","India","1995","1995-09-09 00:00:00","Contract Law, Arbitration Law","Concession Agreement, Termination, Defects, Arbitration Award, Section 34 of the Arbitration and Conciliation Act, 1996","High","Respondent","Supreme Court upheld the Arbitral Tribunal's award, setting aside the High Court's judgment.","Validity of the termination notice issued by DAMEPL and the quantification of damages."
"284","M/S N.N. Global Mercantile Private ... vs M/S Indo Unique Flame Ltd.","Supreme Court","India","1995","1995-01-11 00:00:00","Contract Law, Arbitration Law","Arbitration Agreement, Stamp Act, Separability of Arbitration Agreement, Fraud, Writ Petition","Low","Against Respondent","Supreme Court set aside the High Court's order and directed the Commercial Court to proceed with the arbitration.","Enforceability of an arbitration agreement in an unstamped contract, maintainability of a writ petition to challenge an order rejecting an application for reference to arbitration, and the arbitrability of fraud allegations."
"285","Bharat Sanchar Nigam Limited vs M/S Nortel Networks India Pvt. Ltd.","Supreme Court","India","1995","1995-03-10 00:00:00","Contract Law, Arbitration Law","Arbitration and Conciliation Act, 1996, Limitation Act, Section 11, Arbitration Agreement, Time-barred Claims","High","Respondent","Supreme Court dismissed the application under Section 11.","Enforceability of time-barred claims under Section 11 of the Arbitration and Conciliation Act."
"286","Uflex Ltd. vs The Government Of Tamil Nadu","Supreme Court","India ","1995","1995-09-17 00:00:00","Administrative Law, Contract Law","Public Procurement, Tender Process, Judicial Review","High","Against Respondent","Supreme Court set aside the High Court's order and upheld the tender process.","Judicial interference in public procurement processes, limits of judicial review in tender-related matters."
"287","Gujarat Urja Vikas Nigam Limited vs Amit Gupta","Supreme Court","India","1995","1995-03-08 00:00:00","Contract Law, Insolvency Law","Insolvency and Bankruptcy Code, Power Purchase Agreement, Termination of Contract, Jurisdiction of NCLT","Low","Against Respondent","Supreme Court allowed the appeal and set aside the orders of the NCLT and NCLAT.","Jurisdiction of NCLT and NCLAT over contractual disputes arising out of insolvency proceedings"
"288","Ebix Singapore Pte Ltd. vs. Committee of Creditors of Educomp Solutions Ltd.","Supreme Court","India","1995","2021-09-13 00:00:00","Insolvency and Bankruptcy Law, Contract Law","and Bankruptcy Law, Contract LawIBC, Resolution Plan, Withdrawal of Resolution Plan, CoC, NCLT, NCLAT","High","Against Respondent","Supreme Court upheld the NCLAT's order and dismissed Ebix's appeal.","Whether a resolution applicant can withdraw an approved resolution plan under the IBC."
"289","Ajay Kumar @ Nannu vs State Of Punjab","Punjab and Haryana High Court","India","1995","1995-03-31 00:00:00","Criminal Law","NDPS Act, Bail, Narcotic Drugs","Medium ","Respondent","High Court granted bail to the petitioners.","Grant of bail under NDPS Act"
"290","Government Of Maharashtra, (Water ... vs M/S Borse Brothers Engineers And ...","Supreme Court","India","1995","1995-03-19 00:00:00","Civil Procedure, Arbitration Law","Procedure, Arbitration LawLimitation Act, Arbitration and Conciliation Act, Condonation of Delay","Low","Against Respondent","Supreme Court dismissed the appeals, upholding the High Courts' decisions to not condone the delay in filing the appeals.","Condonation of delay in filing appeals under the Arbitration and Conciliation Act, 1996"
"291","Arcelor Mittal Nippon Steel India Ltd. vs Essar Bulk Terminal Ltd.Supreme","Supreme Court","India","1995","1995-09-15 00:00:00","Arcelor Mittal Nippon Steel India Ltd. vs Essar Bulk Terminal Ltd.Supreme","Arbitration and Conciliation Act, Section 9, Interim Relief, Jurisdiction of Courts","High"," Respondent","Supreme Court clarified that the Commercial Court does not need to consider the efficacy of Section 17 relief before granting interim relief under Section 9.","Jurisdiction of courts under Section 9 of the Arbitration and Conciliation Act, 1996, after the constitution of an arbitral tribunal."
"292","Phoenix Arc Private Limited vs Spade Financial Services Limited","Supreme Court","India","1995","1995-02-01 00:00:00","Insolvency and Bankruptcy Law, Civil Procedure","IBC, Financial Creditor, Related Party, CoC","Low","Against Respondent","Supreme Court held that Spade and AAA were not financial creditors and should be excluded from the CoC.","Whether Spade and AAA are financial creditors and related parties of the corporate debtor."
"293","Pratap Technocrats (P) Ltd. vs Monitoring Committee Of Reliance","Supreme Court","India","1995","1995-08-10 00:00:00","Insolvency and Bankruptcy Law","IBC, Resolution Plan, Operational Creditors, Financial Creditors, CoC","Medium","Respondent","Supreme Court dismissed the appeal.","Fairness and equity in the treatment of operational creditors in the resolution plan."
"294","The Vice Chairman And Managing ... vs Shishir Realty Pvt Ltd .","Supreme Court","India","1995","1995-11-29 00:00:00","Civil Procedure, Contract Law","Land Acquisition, Contractual Obligations, Government Contracts, Public Interest Litigation","High","Against Respondent","Supreme Court dismissed the appeals.","Cancellation of lease deeds by CIDCO without sufficient cause."
"295","Sudhir Kumar @ S. Baliyan vs Vinay Kumar G.B.","Supreme Court","India","1995","1995-09-15 00:00:00","Civil Procedure","Order VII Rule 14 (3), Additional Documents, Commercial Courts Act","Low","Respondent","Supreme Court partially allowed the appeal, granting leave to the plaintiff to rely on additional invoices.","Whether the plaintiff can be allowed to rely on additional documents under Order VII Rule 14 (3) of the CPC."
"296","The Assistant Commissioner Of State Tax vs M/S Commercial Steel Company","Supreme Court","India","1995","1995-09-03 00:00:00","Tax Law, Constitutional Law","CGST Act, SGST Act, Article 226, Alternative Remedy","Low","Respondent","Supreme Court allowed the appeal and set aside the High Court's order.","Maintainability of writ petition under Article 226 of the Constitution when an alternative statutory remedy is available."
"297","Vijay Jamnadhar Agarwal vs Raghavji Anandji And Co","Bombay High Court","India","1995","1995-09-30 00:00:00","Civil Procedure","Commercial Courts Act, Writ of Summons, Delay in Issuance","Medium","Against Respondent","Court directed the issuance of Writ of Summons in 211 Commercial Suits.","Delay in issuance of Writ of Summons in Commercial Suits."
"298","Ganga Taro Vazirani vs Deepak Raheja","Bombay High Court","India","1995","1995-02-16 00:00:00","Civil Procedure","Commercial Courts Act, Summons for Judgement, Pre-Institution Mediation","Low","Respondent","Court granted leave to defend the suit on the condition of deposit of the claimed amount.","Whether the defendant can raise the issue of pre-institution mediation under Section 12A of the Commercial Courts Act at a late stage."
"299","Gemini Bay Transcription Pvt Ltd vs Integrated Sales Service Limited And ...","Supreme Court","India","1995","1995-08-10 00:00:00","Civil Procedure, Arbitration Law","Arbitration and Conciliation Act, 1996, Foreign Award, Public Policy, Piercing the Corporate Veil","High","Respondent","Supreme Court dismissed the appeals.","Recognition and enforcement of foreign arbitral awards, scope of public policy exception."
"300","Sepco Electric Power Construction ... vs Power Mech Projects Ltd.Supreme","Supreme Court","India","1995","1995-08-24 00:00:00","Arbitration and Conciliation Act","Bank Guarantee, Arbitration Award, Section 9 A&C Act","Low ","Against Respondent","Supreme Court allowed the appeal.","Whether a bank guarantee issued by a Scheduled Bank (foreign bank with a branch in India) can be accepted as security for an arbitration award."
"301","India Resurgence Arc Private Limited vs M/S. Amit Metaliks Limited","Supreme Court","India","1995","1995-05-13 00:00:00","Insolvency and Bankruptcy Law","IBC, Resolution Plan, Operational Creditors, Financial Creditors, CoC","High","Respondent","Supreme Court dismissed the appeal.","Whether the resolution plan approved by the NCLT was fair and equitable to all stakeholders, particularly operational creditors."
"302","Deepak Raheja vs Ganga Taro Vazirani","Bombay High Court","India","1995","1995-10-01 00:00:00","Civil Procedure","Commercial Courts Act, Summons for Judgement, Pre-Institution Mediation","Medium","Against Respondent","Court directed the parties to attend mediation.","Whether the defendant can raise the issue of pre-institution mediation under Section 12A of the Commercial Courts Act at a late stage."
"303","Valentine Maritime Ltd vs Kreuz Subsea Pte Ltd. And Another","Bombay High Court","India","1995","1995-01-22 00:00:00","Arbitration and Conciliation Act","Section 9 A&C Act, Interim Measures, Arbitration","high","Respondent","Court dismissed the appeals.","Whether the High Court was justified in granting interim measures under Section 9 of the Arbitration Act."
"304","Mohd Ahsan vs Customs","Delhi High Court","India","1995","1995-06-25 00:00:00","Criminal Law","NDPS Act, Bail, Commercial Quantity","Medium","Against Respondent","Court granted interim bail for 90 days.","Whether the quantity of Codeine in a mixture should be calculated based on the weight of the mixture or the pure weight of Codeine."
"305","Steel Authority Of India Ltd vs Sks Ispat And Power Ltd And 2 Ors","Bombay High Court","India","1995","1995-07-09 00:00:00","Civil Procedure","Commercial Courts Act, Commercial Suits, Case Management","Medium","Respondent","Court issued directions for the timely disposal of commercial suits.","Timely disposal of commercial suits, especially those valued above Rs. 100 crores."
"306","Kalpana Morparia vs Kaplavruksha Developers And 5 Ors","Bombay High Court","India","1995","1995-10-27 00:00:00","Civil Procedure","Real Estate, Construction, Court Receiver","Low ","Against Respondent","Court approved a scheme for completion of the project.","Completion of an incomplete real estate project, appointment of a project management consultant."
"307","Pasl Wind Solutions Private Limited vs Ge Power Conversion India Private ...","Supreme Court","India","1995","1995-04-20 00:00:00","Arbitration and Conciliation Act","Foreign Award, New York Convention, Seat of Arbitration","high","Respondent","Supreme Court dismissed the appeal.","Whether an arbitration award made in a foreign country between two Indian companies can be enforced in India as a ""foreign award"" under the New York Convention."
"308","Himachal Pradesh Bus Stand Management ... vs The Central Empowered Committee on","Supreme Court","India","1995","1995-01-12 00:00:00","Environmental Law","Illegal Construction, Forest Conservation Act, NGT","medium","Against Respondent","Supreme Court upheld the NGT order directing demolition of illegal construction.","Whether the NGT had jurisdiction to order demolition of illegal construction on forest land."
"309","Hamid Ali Khan (D) Thr. Lrs. vs State Of U.P. .","Supreme Court","India","1995","1995-11-23 00:00:00","Land Acquisition Law","Land Acquisition Act, Section 4, Section 5A, Section 17(4)","low","Respondent","Supreme Court allowed the appeal and quashed the land acquisition notifications.","Whether the invocation of the urgency clause under Section 17(4) of the Land Acquisition Act was justified without proper inquiry under Section 5A."
"310","Black Diamond Trackparts Private ... vs Black Diamond Motors Private Limited","Delhi High court ","India","1995","1995-08-27 00:00:00","Civil Procedure ","Article 227, Res Judicata, Territorial Jurisdiction","high","Respondent","Court dismissed the petition.","Whether a petition under Article 227 of the Constitution of India is maintainable against the order of a Commercial Court dismissing an application under Order VII Rule 11 of the CPC."
"311","M/S Ok Play India Pvt Ltd vs M/S A P Distributors & Anr","Delhi High Court","India","1995","1995-10-25 00:00:00","Civil Procedure ","Review Petition, Condonation of Delay, Order VII Rule 11","medium","Against Respondent","Review petition dismissed.","Whether a delay in filing a written statement beyond 90 days without a valid explanation can be condoned."
"312","Virender Singh Alias Rinku vs State Of Punjab","Punjab and Haryana High court ","India","1995","1995-12-22 00:00:00","Criminal Law","NDPS Act, Bail","high","Against Respondent","Bail granted","Whether the petitioner was entitled to bail considering the facts and circumstances of the case, including the fact that no recovery was made from him."
"313","Ladymoon Towers Private Limited vs Mahendra Investment Advisors Private ...","Calcutta High Court ","India","1995","1995-08-13 00:00:00","Civil Procedure ","Commercial Dispute, Jurisdiction of Commercial Court","high","Respondent","Plaint returned from Commercial Division to appropriate Bench.","Whether the dispute between the parties constituted a ""commercial dispute"" within the meaning of the Commercial Courts Act, 2015."
"314","Reckitt Benckiser India Private ... vs Hindustan Unilever Limited","Delhi High court ","India","1995","1995-11-09 00:00:00","Intellectual Property Law","Trademark, Passing Off, Disparagement","low ","Respondent","Interim injunction granted","Whether the defendant's advertisements disparaged the plaintiff's product and infringed its trademark rights."
"315","U.P. State Road Transport Corporation ... vs Ram Murti Mishra","Allahabad High Court","India","1995","1995-07-07 00:00:00","Civil Procedure ","Transfer of Case, Arbitration and Conciliation Act","low","Respondent","Petition Dismissed ","Whether the transfer of an arbitration case to a Commercial Court was justified "
"316","Bharat Muddanna Shetty vs Ahuja Properties And Developers And 2 ...","Supreme Court","India","1995","1995-07-13 00:00:00","Civil Procedure ","Commercial Courts Act, Summary Suit","low","Against Respondent","The suit was re-numbered as a summary suit.","Whether the suit was a commercial suit within the meaning of the Commercial Courts Act, 2015."
"317","Reckitt Benckiser India Private ... vs Hindustan Unilever Limited","Supreme Court","India","1995","1995-11-09 00:00:00","Intellectual Property Law","Trademark, Passing Off, Disparagement, Comparative Advertising","high","Respondent","Interim injunction granted","Whether Hindustan Unilever's advertisements disparaged Reckitt Benckiser's ""Harpic"" brand and infringed its trademark rights."
"318","Bangalore Electricity Supply Company ... vs Es Solar Private Limited","Supreme Court","India","1995","1995-05-03 00:00:00","Energy Law , Contract Law","Power Purchase Agreement, Commissioning Date, Liquidated Damages","medium","Against Respondent","Supreme Court upheld the Appellate Tribunal's decision.","Whether the interpretation of ""Scheduled Commissioning Date"" in the Power Purchase Agreement was correct and whether the imposition of liquidated damages was justified."
"319","Gurdev Singh vs The State Of Punjab","Supreme Court","India","1995","1995-04-06 00:00:00","Criminal Law","NDPS Act, Sentence","medium","Responant","Appeal Dismissed ","Whether the sentence of 15 years R.I. with fine of Rs. 2 Lakhs and in default to undergo further one year R.I. was justified."
"320","Laxmi Polyfab Pvt. Ltd vs Eden Realty Ventures Pvt. Ltd. & Anr","Calcutta High Court ","India","1995","1995-04-07 00:00:00","Civil Procedure, Commercial Courts Act","Commercial Dispute, Jurisdiction, Transfer of Cases","medium","Against Respondent","Court clarified the application of Section 12A of the Commercial Courts Act, 2015 and provided guidelines for transferring cases to the Commercial Division.","Whether Section 12A of the Commercial Courts Act, 2015 is mandatory or directory and its implications on the transfer of cases to the Commercial Division."
"321","M/S National Highways Authority Of ... vs M/S Bhubaneswar Expressway Private ...","Delhi High Court","India","1995","1995-05-11 00:00:00","Civil Procedure, Arbitration and Conciliation Act","Section 9, Interim Relief, Condonation of Delay","high","Respondent","Appeal allowed, interim relief set aside","Whether the High Court has the power to grant final relief under Section 9 of the Arbitration and Conciliation Act, 1996."
"322","Aniket Sa Investments Llc vs Janapriya Engineers Syndicate Private ...","Bombay High Court ","India","1995","1995-01-29 00:00:00","Civil Procedure, Arbitration and Conciliation Act","Section 9, Jurisdiction Clause, Seat of Arbitration","medium","Against Respondent","Appeal allowed, Impugned Order set aside.","Whether the choice of seat of arbitration in an arbitration agreement confers exclusive jurisdiction on the courts of that place."
"323","Rajawadi Arunodaya Coop Hsg Soc Ltd vs Value Projects Pvt Ltd","Bombay High court .","India","1995","1995-03-15 00:00:00","Civil Procedure, Arbitration and Conciliation Act","Section 9, Redevelopment Project, Interim Relief","low ","Respondent","Court ordered the developer to hand over possession of the project site and appointed a receiver","Whether the developer should be allowed to continue with the redevelopment project given the delays and breaches of contract."
"324","M/S Awasthi Motors vs Managing Director M/S Energy ...","Allahbad High Court ","India","1995","1995-03-22 00:00:00","Civil Procedure, Commercial Courts Act","Pre-Institution Mediation, Court Fees, Commercial Dispute","low","Respondent","Appeal Allowed ","Whether deposit of court fees on the valuation of the plaint is a pre-condition to maintain an application under Section 12A of The Commercial Courts Act, 2015 read with Rule 3 of The Commercial Courts (Pre-Institution Mediation and Settlement) Rules, 2018."
"325","Arindam Chaudhuri vs Zest Systems Pvt Ltd & Anr","Delhi High court ","India","1995","1995-09-10 00:00:00","Civil Procedure ","Commercial Courts Act, Appeal, Limitation","medium","Against Respondent","Appeal Dismissed ","Whether the appeals were filed within the prescribed limitation period under the Commercial Courts Act, 2015."
"326","Tvl Sri Rajeshwari Stores vs The State Of Tamil Nadu","Madras High court ","India","1995","1995-02-19 00:00:00","Tax","Tamil Nadu Value Added Tax Act, Input Tax Credit, Threshold Limit","high","Respondent","Case partially allowed - Reassessment ordered","Whether the petitioner can avail Input Tax Credit under Section 3(4)(b) of the Tamil Nadu Value Added Tax Act, 2006."
"327","Ashok Kumar Puri & Anr. vs S. Suncon Realtors Pvt. Ltd. & Anr.","Supreme Court","India","1995","1995-12-10 00:00:00","Civil Procedure, Arbitration and Conciliation Act","Section 34, Condonation of Delay, Commercial Courts Act","low","Respondent","Petition dismissed","Whether the High Court can interfere with the order of the Commercial Court allowing condonation of delay in filing a Section 34 petition."
"328","Laxmi Engineering Works vs P.S.G. Industrial Institute","Supreme Court","India","1995","1995-04-04 00:00:00","Consumer Protection Act","Consumer Definition, Commercial Purpose, Self-Employment","low","Against Respondent","Appeal Dismissed","Whether a person who buys goods and uses them exclusively for self-employment is a 'consumer' under the Consumer Protection Act, 1986."
"329","L.I.C. of India & Anr. vs Consumer Education & Research Centre & Ors.","Supreme Court","India","1995","1995-05-10 00:00:00","Constitutional Law, Insurance Law","Article 14, Discrimination, Public Interest","high","Respondent ","Appeal Dismissed","Whether the condition imposed by the LIC for eligibility under Table 58 policy, restricting it to only Government, semi-Government or reputed commercial firms, is discriminatory and violates Article 14 of the Constitution."
"330","Harbilas Rai Bansal vs The State Of Punjab & Anr","Supreme Court","India","1995","1995-12-05 00:00:00","Constitutional Law, Rent Control","Right to Property, Bona Fide Requirement","Low","Respondent ","Appeal Dismissed","Whether the amendment to the East Punjab Urban Rent Restriction Act, 1949, taking away the landlord's right to evict a tenant from a non-residential building on the ground of bona fide requirement, violates the right to property under Article 300A of the Constitution."
"331","Rajeev Metal Works & Ors vs The Mineral & Metal Trading Corpn. Of ...","Supreme Court","India","1995","1995-12-01 00:00:00","Consumer Protection Act","Consumer Definition, Commercial Purpose, Sale of Goods","High","Against Respondent ","Appeal Dismissed","Whether the transaction of sale of goods by a public sector undertaking to a private party constitutes a ""consumer dispute"" under the Consumer Protection Act, 1986."
"332","Tata Press Limited vs Mahanagar Telephone-Nigam Limited & ...","Supreme Court","India","1995","1995-08-03 00:00:00","Constitutional Law, Intellectual Property","Freedom of Speech, Copyright, Telephone Directory","Low","Against Respondent ","Appeal allowed","Whether the publication of a telephone directory by a private party infringes the copyright of the telephone service provider and violates the Indian Telegraph Act, 1885."
"333","Jagmohan Singh Wadhera vs K.M. Bhatnagar","Delhi High Court","India","1995","1995-07-21 00:00:00","Civil Procedure, Rent Control Act","Eviction, Bona Fide Need, Residential-Cum-Commercial Use","Medium","Respondent ","Eviction Petition Dismissed","Whether the landlord can evict the tenant based on bona fide need for personal use when the premises were allegedly rented for residential-cum-commercial purposes."
"334","Anz Grindlays Bank Pie vs The Commissioner, Mcd And Ors.","Delhi High Court","India ","1995","1995-05-18 00:00:00","Civil Procedure, Municipal Law","Injunction, Unauthorized Construction, Building Bye-Laws","High","Respondent ","Interim injunction refused, suit dismissed","Whether the bank was entitled to an injunction against the MCD's action to demolish unauthorized construction in the leased premises."
"335",".T.C. Classic Finance And Services vs Commissioner Of Commercial Taxes","Andhra High Court","India ","1995","1995-03-07 00:00:00","Tax","Sales Tax, Inter-State Sale, Lease Transactions","Low","Respondent ","Appeal and Writ Petitions allowed","Whether lease transactions involving the purchase of goods from outside the state and subsequent lease within the state are subject to state sales tax."
"336","Vijayalaxmi Cashew Company And Ors vs The Deputy Commercial Tax Officer & Anr","Supreme Court","India ","1995","1995-12-15 00:00:00","Tax","Central Sales Tax Act, Export of Goods, Cashew Kernels","Medium","Respondent ","Appeal Dismissed","Whether the export of cashew kernels obtained from raw cashew nuts is exempt from Central Sales Tax under Section 5(3) of the Central Sales Tax Act."
"337","State Of Bihar And Others vs Sachchidanand Kishore Prasad Sinha And ...","Supreme Court","India ","1995","1995-01-16 00:00:00","Constitutional Law, Municipal Law","Article 14, Equality Clause, Property Tax","Medium","Against Respondent ","Appeal allowed","Whether the impugned clauses of the Assessment Rules, providing for different methods of valuation of properties, violate Article 14 of the Constitution."
"338","Siggil India Limited (Formerly The ... vs The Commercial Tax Officer And Anr.","Madras High court ","India ","1995","1995-10-10 00:00:00","Tax","Sales Tax, Single Point Tax, Processing of Goods","Medium","Respondent ","Writ Petition dismissed","Whether the purification of carbon dioxide gas constitutes a separate taxable event under the Tamil Nadu General Sales Tax Act, 1959."
"339","Surya Kiran Association vs Appropriate Authority And Anr.","Gujrat High Court","India ","1995","1995-06-26 00:00:00","Tax","Income Tax Act, Pre-emptive Purchase, Valuation","Low","Against Respondent ","Petition allowed, Impugned orders quashed","Whether the valuation of property for pre-emptive purchase under section 269UD of the Income Tax Act was justified."
"340","Sri Ramanjaneya Groundnut Factory vs C.T.O. Kadiri And Anr.","Andhra High Court","India ","1995","1995-11-10 00:00:00","Tax","Sales Tax, Exemption, Burden of Proof","High","Respondent ","Appeal Allowed","Whether the burden of proof to establish the genuineness of sales to a registered dealer lies with the selling dealer, even if the purchasing dealer denies the transaction."
"341","Jain Industrial Corporation And ... vs Commercial Tax Officer","Karnataka High Court","India ","1995","1995-09-06 00:00:00","Tax","Sales Tax, Turnover Tax, Exemptions","HIgh","Respondent ","Writ petitions dismissed","Whether the petitioner, having availed exemption under certain notifications, is still liable to pay turnover tax under Section 6B of the Karnataka Sales Tax Act, 1957."
"342","Surya And Co. vs Special Assistant Commercial Tax ...","Andhra High Court","India ","1995","1995-07-04 00:00:00","Tax","Sales Tax, Compounding of Offences, Maximum Penalty","Low","Against Respondent ","Writ petition partly allowed","Whether the compounding fee levied under section 32(1)(b) of the Andhra Pradesh General Sales Tax Act, 1957, can exceed Rs. 3,000."
"343","United Commercial Bank, Rep. By Their ... vs Karumanchi Aruna Kumari And Ors.","Andhra High Court","India ","1995","1995-08-17 00:00:00","Civil Procedure, Banking Law","Interest Rate, Agricultural Loans, Andhra Pradesh Agriculturists Relief Act","High","Against Respondent","Appeal allowed, Case remanded","Whether the rate of interest charged by the bank on an agricultural loan was usurious and whether it was subject to the Andhra Pradesh Agriculturists Relief Act."
"344","Hubli Opticals vs Assistant Commissioner Of Commercial ...","Karnataka High Court","India ","1995","1995-08-24 00:00:00","Tax","Sales Tax, Turnover Tax, Exemption","Low","Respondent ","Petition dismissed","Whether the exemption granted under a notification applies to turnover tax levied under section 6B of the Karnataka Sales Tax Act."
"345","Meco Tranica Private Ltd. vs Assistant Commissioner (Commercial ...","Madras High court ","India ","1995","1995-07-27 00:00:00","Tax","Sales Tax, Rectification of Assessment, Retrospective Effect of Notification","High","Respondent ","Writ petitions allowed","Whether the petitioner is entitled to rectification of assessment orders in light of a retrospective notification reducing the rate of tax."
"346","Syndicate Bank vs Commercial Tax Officer And Others","Karnataka High Court","India ","1995","1995-01-18 00:00:00","Tax","Sales Tax, Hypothecation, Sale of Goods","low","Against Respondent ","Writ petition dismissed","Whether the sale of hypothecated goods by a bank to a third party is subject to sales tax."
"347","B. Muni Reddy vs Assistant Commissioner Of Commercial ...","Karnataka High Court","India ","1995","1995-01-12 00:00:00","Tax","Sales Tax, Turnover Tax, Agricultural Produce","high","Respondent ","Case remanded for reconsideration","Whether ragi flour, being a processed agricultural product, is exempt from sales tax and turnover tax."
